id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;Intention
11;Mayank Nagdeve;After The End of Coronavirus.Please Visit India I m the Biggest Fan of You Both. I Really Love your Vlogs .please come india once more Dont hurt us;Ugyu0BLpJjZ7ER7QWb54AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugyu0BLpJjZ7ER7QWb54AaABAg;2020-04-05 03:11:11;1;After The End of Coronavirus.Please Visit India I m the Biggest Fan of You Both. I Really Love your Vlogs .please come india once more Dont hurt us;http://www.youtube.com/channel/UCeDUS1dEhsV6lV2Y79VExkA;1
12;Chase for Adventure;Aww we can\'t wait to go back to India! Thank you so much Mayank!;Ugyu0BLpJjZ7ER7QWb54AaABAg.973HpiEASix978-lowRNz6;Mayank Nagdeve;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugyu0BLpJjZ7ER7QWb54AaABAg.973HpiEASix978-lowRNz6;2020-04-06 23:09:33;0;Aww we can\'t wait to go back to India! Thank you so much Mayank!;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
13;KRISTIN;"I\'m glad to hear you two are safe and I\'m so sorry you weren\'t able to see your families. In these ""uncertain"" times, your videos have kept me sane and even inspired me to finally bite the bullet and buy tickets to Thailand. I absolutely love your videos, how informational/real life they are, and the dynamic energy you two have. Know you are making a difference in peoples lives during this time!! I look forward to you guys getting ""back on the road""!! Congrats on your foster puppies!!";UgyV31mbfi05T0F_w4h4AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgyV31mbfi05T0F_w4h4AaABAg;2020-03-25 09:32:58;1;"I\'m glad to hear you two are safe and I\'m so sorry you weren\'t able to see your families. In these ""uncertain"" times, your videos have kept me sane and even inspired me to finally bite the bullet and buy tickets to Thailand. I absolutely love your videos, how informational/real life they are, and the dynamic energy you two have. Know you are making a difference in peoples lives during this time!! I look forward to you guys getting ""back on the road""!! Congrats on your foster puppies!!";http://www.youtube.com/channel/UCgfc1iBzLHl1kXnTSttpkNg;1
14;Chase for Adventure;Thank you so much Kristin! Aww I am so happy to hear that ☺️ That’s so exciting and you will love Thailand. I can’t wait until it’s safe to travel again. With love from Thailand 🇹🇭;UgyV31mbfi05T0F_w4h4AaABAg.96cdmSRa6p-96hEMrkMoO2;KRISTIN;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgyV31mbfi05T0F_w4h4AaABAg.96cdmSRa6p-96hEMrkMoO2;2020-03-27 04:18:21;0;Thank you so much Kristin! Aww I am so happy to hear that ☺️ That’s so exciting and you will love Thailand. I can’t wait until it’s safe to travel again. With love from Thailand 🇹🇭;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
15;Teacher Carrie;OMG!!!! I teach VIPKID as well...lol!! I love it.!!! An employee of O2B Kids caught the Corona Virus. I think it was Hunter\'s Crossing location.;Ugx8r7rR4VIwkN-eB3V4AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugx8r7rR4VIwkN-eB3V4AaABAg;2020-03-23 17:48:39;1;OMG!!!! I teach VIPKID as well...lol!! I love it.!!! An employee of O2B Kids caught the Corona Virus. I think it was Hunter\'s Crossing location.;http://www.youtube.com/channel/UCYxYzhZudTtGHF9LiveBAcA;1
16;Chase for Adventure;Oh how cool! And oh no! It\'s crazy hearing about how it has impacted Gainesville. We were supposed to originally be on plane right now headed back 😢;Ugx8r7rR4VIwkN-eB3V4AaABAg.96ZNvB5lZ4B96_-33iV3GF;Teacher Carrie;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugx8r7rR4VIwkN-eB3V4AaABAg.96ZNvB5lZ4B96_-33iV3GF;2020-03-23 23:30:39;0;Oh how cool! And oh no! It\'s crazy hearing about how it has impacted Gainesville. We were supposed to originally be on plane right now headed back 😢;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
17;Teacher Carrie;I am glad to see that you guys are okay!;Ugz2nk118Lm0rVi9yi14AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugz2nk118Lm0rVi9yi14AaABAg;2020-03-23 17:44:27;1;I am glad to see that you guys are okay!;http://www.youtube.com/channel/UCYxYzhZudTtGHF9LiveBAcA;1
18;Chase for Adventure;Thank you so much Carrie! 😊;Ugz2nk118Lm0rVi9yi14AaABAg.96ZNRONhCbh96ZzmDiedsP;Teacher Carrie;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=Ugz2nk118Lm0rVi9yi14AaABAg.96ZNRONhCbh96ZzmDiedsP;2020-03-23 23:28:13;0;Thank you so much Carrie! 😊;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
19;Edgar Queguia;In my opinion Madam you\'re perfect as a U.S.CNN REPORTER.;UgwpeLF2cxF32YtYw3J4AaABAg;;0;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgwpeLF2cxF32YtYw3J4AaABAg;2020-03-21 16:17:52;1;In my opinion Madam you\'re perfect as a U.S.CNN REPORTER.;http://www.youtube.com/channel/UC66bVxGRxeTIwdDFzTLZe5w;1
20;Chase for Adventure;She is perfect 😉;UgwpeLF2cxF32YtYw3J4AaABAg.96U3wRtwwjD96Zxb83XhWD;Edgar Queguia;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgwpeLF2cxF32YtYw3J4AaABAg.96U3wRtwwjD96Zxb83XhWD;2020-03-23 23:09:13;0;She is perfect 😉;http://www.youtube.com/channel/UCQL1-6vWiXw4iZjMdBZgCSQ;1
21;SimpsOn The Go;Where in Thailand are you? We are in Phuket trying to figure out what to do next! Best of luck, guys! Crazy times we are in!;UgzmIpvt52ILZXd2_HN4AaABAg;;1;https://www.youtube.com/watch?v=u_I8IYJzdhY&lc=UgzmIpvt52ILZXd2_HN4AaABAg;2020-03-17 11:37:41;1;Where in Thailand are you? We are in Phuket trying to figure out what to do next! Best of luck, guys! Crazy times we are in!;http://www.youtube.com/channel/UCBtjeQIxz7roW0L32R0xAdA;1
