id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
62;vinod banjara;We are @vlogger_banjaras. Youtubers. Beginners. We quit our jobs for travelling full time. Can you pleass guide us about digital nomad.;UgyGsx3I55BHq_odxrZ4AaABAg;;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyGsx3I55BHq_odxrZ4AaABAg;2020-11-17 22:30:51;0;We are @vlogger_banjaras. Youtubers. Beginners. We quit our jobs for travelling full time. Can you pleass guide us about digital nomad.;http://www.youtube.com/channel/UCGE37JNNC4vu2vVnPkQ0S9w;0
63;Amy Stansfield;So excited to watch! Your living my dream life, wow.;UgyMVv2TP14BeyurdAt4AaABAg;;3;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyMVv2TP14BeyurdAt4AaABAg;2020-11-16 16:57:01;1;So excited to watch! Your living my dream life, wow.;http://www.youtube.com/channel/UCkHmYhYBkOGAhhzvJygpYAQ;0
64;Joanna Yung;Thanks for your comment. I wouldn’t say it’s dream life and There’re lots of challenges I have to overcome. But it’s definitely the life I enjoy and I wouldn’t trade it for anything else :) hope you are doing well!;UgyMVv2TP14BeyurdAt4AaABAg.9G8E3dTcAnh9G8hbYsmGoc;Amy Stansfield;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyMVv2TP14BeyurdAt4AaABAg.9G8E3dTcAnh9G8hbYsmGoc;2020-11-16 21:23:55;0;Thanks for your comment. I wouldn’t say it’s dream life and There’re lots of challenges I have to overcome. But it’s definitely the life I enjoy and I wouldn’t trade it for anything else :) hope you are doing well!;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
65;Dragon tv Box;Can you marred me;UgwiVKBwMmAl7-4NRVh4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwiVKBwMmAl7-4NRVh4AaABAg;2020-11-12 11:40:08;1;Can you marred me;http://www.youtube.com/channel/UCwoHvqrVPVW-FjZ158za6pw;0
66;michael wen;Learn to spell;UgwiVKBwMmAl7-4NRVh4AaABAg.9FyMcHA0LU09IGh5LmotDq;Dragon tv Box;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwiVKBwMmAl7-4NRVh4AaABAg.9FyMcHA0LU09IGh5LmotDq;2021-01-08 16:56:06;0;Learn to spell;http://www.youtube.com/channel/UCKgFoNgjHjOHWDCQrNUMmJg;0
67;Dragon tv Box;I love you vary cool;UgxrOCqVRF81EpTZphp4AaABAg;;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgxrOCqVRF81EpTZphp4AaABAg;2020-11-12 11:39:16;0;I love you vary cool;http://www.youtube.com/channel/UCwoHvqrVPVW-FjZ158za6pw;0
68;Bob Hoskins;"9 minutes wasted and she\'s said basically nothing anybody but a young child would know. Your views are pitiful and you\'re trying to teach this lifestyle? I don\'t understand. Don\'t you have to be good at something to teach it? The view count could be related to the emptiness of your words. Its like you\'ve floated around the world and absorbed so little. Or you\'re keeping what you\'ve learned a secret. You might want to limit the use of the phrase Digital Nomad as it basically refers to broke ass losers trying to be hip and cool and popular and failing miserably (99.9% of them). They leave thinking ""it will be OK"" instead of establishing online income adequate for their living expenses BEFORE they go. Of course that takes a while to get going for most of us and most young people have zero patience. Hence the problem. You seem to have a good eye for vistas. You might want to focus more on showing people those than you talking. So many YouTubers think we\'re interested in seeing them blab on and on. We\'re not. We want to see interesting videos (this is a video website after all) and if you want to narrate those videos that\'s just fine but the main thing people come to YouTube for is the video, not someone talking about something they seem to barely know. Maybe I\'m being harsh but when you said you\'ve formed an Academy, that really took the cake. First people coach 1 on 1, then they teach groups, then they have seminars, then they set up an Academy which is another term for School of Learning. Are you going to set up a university next week? How about an institute for gifted digital nomads? Or ""How to be not quite so broke and a parasite to everyone you know"". Get the camera off you blabbing and watch your views escalate.";UgwDy7sYJnIMGosTRY54AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwDy7sYJnIMGosTRY54AaABAg;2020-11-11 01:27:44;0;"9 minutes wasted and she\'s said basically nothing anybody but a young child would know. Your views are pitiful and you\'re trying to teach this lifestyle? I don\'t understand. Don\'t you have to be good at something to teach it? The view count could be related to the emptiness of your words. Its like you\'ve floated around the world and absorbed so little. Or you\'re keeping what you\'ve learned a secret. You might want to limit the use of the phrase Digital Nomad as it basically refers to broke ass losers trying to be hip and cool and popular and failing miserably (99.9% of them). They leave thinking ""it will be OK"" instead of establishing online income adequate for their living expenses BEFORE they go. Of course that takes a while to get going for most of us and most young people have zero patience. Hence the problem. You seem to have a good eye for vistas. You might want to focus more on showing people those than you talking. So many YouTubers think we\'re interested in seeing them blab on and on. We\'re not. We want to see interesting videos (this is a video website after all) and if you want to narrate those videos that\'s just fine but the main thing people come to YouTube for is the video, not someone talking about something they seem to barely know. Maybe I\'m being harsh but when you said you\'ve formed an Academy, that really took the cake. First people coach 1 on 1, then they teach groups, then they have seminars, then they set up an Academy which is another term for School of Learning. Are you going to set up a university next week? How about an institute for gifted digital nomads? Or ""How to be not quite so broke and a parasite to everyone you know"". Get the camera off you blabbing and watch your views escalate.";http://www.youtube.com/channel/UCMpVrAD2jMyalzvPCycF6wA;0
69;CaptainFisch;your video is good but there is to much talk about C19. I came here to forget about it for a few minutes because it is just anoying.;Ugwap1q9pDDBoZ3FuHR4AaABAg;;3;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugwap1q9pDDBoZ3FuHR4AaABAg;2020-11-11 01:06:16;0;your video is good but there is to much talk about C19. I came here to forget about it for a few minutes because it is just anoying.;http://www.youtube.com/channel/UCXISZNkJEhBDC62CVgCcIAw;0
70;Salah T;I really like your videos Joanna I was afraid the digital nomad life was not an option anymore because of this stupid covid happy that you overcome this and kept moving forward respect :D;Ugy3S5g2BRHIe5nXRGp4AaABAg;;2;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugy3S5g2BRHIe5nXRGp4AaABAg;2020-11-09 08:04:01;2;I really like your videos Joanna I was afraid the digital nomad life was not an option anymore because of this stupid covid happy that you overcome this and kept moving forward respect :D;http://www.youtube.com/channel/UCuGUCr_-XCboCeEj4w2J09Q;0
71;Salah T;@Joanna Yung that would be awesome I would love to hear some advice from you how to get started :);Ugy3S5g2BRHIe5nXRGp4AaABAg.9FqFVg2I38A9FybQKEMmTu;Salah T;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugy3S5g2BRHIe5nXRGp4AaABAg.9FqFVg2I38A9FybQKEMmTu;2020-11-12 13:58:11;0;@Joanna Yung that would be awesome I would love to hear some advice from you how to get started :);http://www.youtube.com/channel/UCuGUCr_-XCboCeEj4w2J09Q;0
